time_s,velocity_um_per_s,velocity_smooth_um_per_s
5.8,3.61326981417242,3.51776605689166
5.83333333333333,3.55273310283891,3.51556305412665
5.86666666666667,3.39102215415946,3.50373637015441
5.9,3.30545477203985,3.48986651535042
5.93333333333333,3.24217326804195,3.47797779492169
5.96666666666667,3.2405352567139,3.46650699834717
6,3.36037572304163,3.45754882466508
6.03333333333333,3.35733618364576,3.44945346267922
6.06666666666667,3.24827742811759,3.44077244636791
6.1,3.31939188707966,3.43832298232993
6.13333333333333,3.47607986818616,3.442037718061
6.16666666666667,3.56815778799156,3.44400240008521
6.2,3.60905978060686,3.44324064693734
6.23333333333333,3.5674728450258,3.44085942441415
6.26666666666667,3.48216706951385,3.43708647636687
6.3,3.45742046184772,3.43567605757744
6.33333333333333,3.60674628300743,3.44168564597742
6.36666666666667,3.78117541248554,3.45243521522045
6.4,3.81181551232349,3.46431067587898
6.43333333333333,3.8355483636607,3.47753672002707
6.46666666666667,3.82886814215123,3.49251067226438
6.5,3.74593863404037,3.5061493908903
6.53333333333333,3.60897665550789,3.51160273171354
6.56666666666667,3.4834806587672,3.5057068576222
6.6,3.43262472461137,3.49610503039492
6.63333333333333,3.49541395974952,3.49340118261521
6.66666666666667,3.55672953708978,3.49997191745313
6.7,3.58186055004941,3.5103863202258
6.73333333333333,3.63121364009256,3.52116846077223
6.76666666666667,3.66950098787207,3.52869401548106
6.8,3.58816195983402,3.52785708700311
6.83333333333333,3.40259919032639,3.52285262325269
6.86666666666667,3.27650824049238,3.51903549279712
6.9,3.32538719550196,3.51969990691253
6.93333333333333,3.40356798081017,3.52507973067147
6.96666666666667,3.35381219658896,3.5288556286673
7,3.39228905018238,3.52991940623866
7.03333333333333,3.48147059444561,3.53405721993199
7.06666666666667,3.61594472441054,3.54631279647509
7.1,3.71569475333831,3.55952289201704
7.13333333333333,3.5280288405827,3.56125452443026
7.16666666666667,3.39895664138186,3.55561448620994
7.2,3.38758486978626,3.54823198918258
7.23333333333333,3.25620657360781,3.53785644680198
7.26666666666667,3.25094313238455,3.53014898223101
7.3,3.43050014575017,3.52925163836109
7.33333333333333,3.57333002953824,3.52813776324545
7.36666666666667,3.53589981475872,3.51996190998789
7.4,3.50937316340275,3.5098804983572
7.43333333333333,3.61407145751272,3.50249793481893
7.46666666666667,3.61897516570814,3.49550150227083
7.5,3.58849724815464,3.49025345607464
7.53333333333333,3.63831090617604,3.49123126443024
7.56666666666667,3.59838592288143,3.49506143990072
7.6,3.50492332298367,3.49747139317979
7.63333333333333,3.5044186393752,3.49777154916731
7.66666666666667,3.53833029125393,3.49715824097279
7.7,3.54047842812231,3.49577883690855
7.73333333333333,3.55261699314657,3.49315894867702
7.76666666666667,3.55093033584073,3.48920659360931
7.8,3.61709914848778,3.49017116656443
7.83333333333333,3.71719652426383,3.50065774436235
7.86666666666667,3.6462043620741,3.51298094841507
7.9,3.61196881907962,3.52253366920099
7.93333333333333,3.64769276392635,3.53067116197153
7.96666666666667,3.58696076086751,3.53844278078082
8,3.4585600327308,3.54065181353243
8.03333333333333,3.39363558738919,3.53772397996388
8.06666666666667,3.37103934269369,3.52956046723999
8.1,3.34077554618624,3.51706316033492
8.13333333333333,3.32055529994637,3.51014737564704
8.16666666666667,3.46638951215836,3.51239513800626
8.2,3.77276920841966,3.5252346159607
8.23333333333333,3.90866025640396,3.54698307205391
8.26666666666667,3.94477581745623,3.57011082822296
8.3,4.04944594975649,3.59074235502317
8.33333333333333,4.11760701136105,3.60888492108394
8.36666666666667,3.99800809779196,3.62428853051838
8.4,3.9372618975639,3.63855148832375
8.43333333333333,4.02517546201395,3.65225495514046
8.46666666666667,4.21797492880048,3.6722216139102
8.5,4.50653275811817,3.70282279757565
8.53333333333333,4.71126509018509,3.73858793704262
8.56666666666667,4.60748711338373,3.7722246433927
8.6,4.3911281295354,3.80176480361109
8.63333333333333,4.25332370035434,3.82672830564373
8.66666666666667,4.09119252174688,3.84515704666016
8.7,3.8553055974857,3.85565128563894
8.73333333333333,3.62031766562004,3.85790797472139
8.76666666666667,3.44397027426069,3.85434263933539
8.8,3.43315907729346,3.84821130362891
8.83333333333333,3.53379841671964,3.84209803337744
8.86666666666667,3.49409323000883,3.83702766230859
8.9,3.32818080938988,3.8275680619856
8.93333333333333,3.21100451572447,3.81301178704554
8.96666666666667,3.1596775943131,3.79876901482706
9,3.18726861905325,3.78972596770447
9.03333333333333,3.29835659836853,3.78655000140378
9.06666666666667,3.39796446420567,3.78744750545418
9.1,3.40751467348456,3.78967214303079
9.13333333333333,3.40821892636076,3.79259426391127
9.16666666666667,3.46432803729497,3.79252554808249
9.2,3.43739818030947,3.78134651381215
9.23333333333333,3.37261953087038,3.7634784896277
9.26666666666667,3.42751914655602,3.74623660059769
9.3,3.54226269494547,3.72933049210399
9.33333333333333,3.62036082455859,3.71275561921058
9.36666666666667,3.63152344065064,3.70053946397253
9.4,3.63261183585584,3.6903844619156
9.43333333333333,3.64982276967033,3.67787270550415
